Age,Age.R,  Age (kyr),   Temperature (C) 
18408,-18408,18.408,-44.108
18360,-18360,18.36,-44.1385
18317,-18317,18.317,-44.4749
18266,-18266,18.266,-43.9755
18216,-18216,18.216,-43.6291
18165,-18165,18.165,-44.2914
18116,-18116,18.116,-44.689
18071,-18071,18.071,-44.4853
18019,-18019,18.019,-43.8838
17970,-17970,17.97,-43.3232
17920,-17920,17.92,-43.578
17869,-17869,17.869,-44.8725
17821,-17821,17.821,-45.8817
17776,-17776,17.776,-46.3202
17730,-17730,17.73,-45.7697
17684,-17684,17.684,-44.8113
17638,-17638,17.638,-44.2303
17593,-17593,17.593,-43.5168
17548,-17548,17.548,-44.73
17503,-17503,17.503,-44.6994
17458,-17458,17.458,-44.7502
17416,-17416,17.416,-43.8021
17374,-17374,17.374,-44.6584
17333,-17333,17.333,-44.7502
17284,-17284,17.284,-45.0229
17284,-17284,17.284,-44.6076
17245,-17245,17.245,-45.8181
17169,-17169,17.169,-47.7777
17127,-17127,17.127,-48.2162
17083,-17083,17.083,-47.6352
17042,-17042,17.042,-48.3691
16998,-16998,16.998,-47.4159
16998,-16998,16.998,-47.5229
16960,-16960,16.96,-47.0795
16919,-16919,16.919,-45.1453
16885,-16885,16.885,-45.734
16845,-16845,16.845,-45.2982
16813,-16813,16.813,-45.9404
16773,-16773,16.773,-47.3318
16740,-16740,16.74,-47.0872
16702,-16702,16.702,-47.5382
16662,-16662,16.662,-46.9037
16629,-16629,16.629,-47.0642
16553,-16553,16.553,-47.6352
16510,-16510,16.51,-47.2171
16465,-16465,16.465,-46.2997
16465,-16465,16.465,-46.6055
16389,-16389,16.389,-45.8104
16389,-16389,16.389,-45.4639
16348,-16348,16.348,-45.841
16314,-16314,16.314,-45.7034
16274,-16274,16.274,-46.1621
16236,-16236,16.236,-45.6957
16159,-16159,16.159,-45.5557
16115,-16115,16.115,-45.2193
16072,-16072,16.072,-45.6881
16033,-16033,16.033,-47.0948
15990,-15990,15.99,-48.481
15946,-15946,15.946,-49.2661
15946,-15946,15.946,-49.5413
15903,-15903,15.903,-48.8609
15825,-15825,15.825,-47.5434
15784,-15784,15.784,-46.626
15740,-15740,15.74,-47.1789
15740,-15740,15.74,-46.7073
15660,-15660,15.66,-47.4823
15618,-15618,15.618,-46.0245
15579,-15579,15.579,-44.9694
15579,-15579,15.579,-44.7606
15535,-15535,15.535,-45.3364
15500,-15500,15.5,-45.344
15420,-15420,15.42,-45.5046
15375,-15375,15.375,-45.1171
15333,-15333,15.333,-44.7706
15292,-15292,15.292,-44.1361
15292,-15292,15.292,-44.6789
15250,-15250,15.25,-43.4327
15214,-15214,15.214,-43.448
15176,-15176,15.176,-42.8899
15142,-15142,15.142,-43.6162
15108,-15108,15.108,-44.3425
15074,-15074,15.074,-44.6636
15035,-15035,15.035,-45.2141
15001,-15001,15.001,-45.107
14968,-14968,14.968,-45.2829
14932,-14932,14.932,-45.5581
14897,-14897,14.897,-45.0153
14860,-14860,14.86,-44.633
14824,-14824,14.824,-44.6713
14788,-14788,14.788,-44.5872
14749,-14749,14.749,-44.3043
14711,-14711,14.711,-42.8073
14688,-14688,14.688,-41.1621
14669,-14669,14.669,-38.267
14669,-14669,14.669,-38.9847
14648,-14648,14.648,-36.1061
14629,-14629,14.629,-34.6177
14612,-14612,14.612,-33.7055
14596,-14596,14.596,-33.1551
14580,-14580,14.58,-32.9795
14565,-14565,14.565,-32.2719
14548,-14548,14.548,-31.7737
14532,-14532,14.532,-32.1144
14516,-14516,14.516,-31.992
14500,-14500,14.5,-32.3765
