Age,Age.R,  Age (kyr),   Temperature (C) 
1474.77,-1474.77,1.47477,-31.0504
1465.24,-1465.24,1.46524,-31.1224
1455.17,-1455.17,1.45517,-31.2064
1375.5,-1375.5,1.3755,-31.3372
1365.15,-1365.15,1.36515,-31.4136
1356.1,-1356.1,1.3561,-31.6064
1356.1,-1356.1,1.3561,-31.54
1346.97,-1346.97,1.34697,-31.678
1337.92,-1337.92,1.33792,-31.8216
1329.46,-1329.46,1.32946,-31.8756
1320.75,-1320.75,1.32075,-31.8148
1312.23,-1312.23,1.31223,-31.7416
1312.23,-1312.23,1.31223,-31.7568
1304.04,-1304.04,1.30404,-31.79
1304.04,-1304.04,1.30404,-31.7968
1295.24,-1295.24,1.29524,-31.7312
1295.24,-1295.24,1.29524,-31.7696
1285.9,-1285.9,1.2859,-31.8288
1285.9,-1285.9,1.2859,-31.7664
1276.08,-1276.08,1.27608,-31.8824
1266.91,-1266.91,1.26691,-31.914
1258.01,-1258.01,1.25801,-31.9184
1249.54,-1249.54,1.24954,-32
1241.54,-1241.54,1.24154,-32.0588
1232.59,-1232.59,1.23259,-32.142
1224,-1224,1.224,-32.1616
1214.72,-1214.72,1.21472,-32.1728
1206.26,-1206.26,1.20626,-32.1876
1197.94,-1197.94,1.19794,-32.1568
1188.87,-1188.87,1.18887,-32.1312
1180.46,-1180.46,1.18046,-32.0592
1173.28,-1173.28,1.17328,-31.9684
1164.76,-1164.76,1.16476,-31.8344
1155.86,-1155.86,1.15586,-31.666
1147.35,-1147.35,1.14735,-31.6168
1139.04,-1139.04,1.13904,-31.5872
1130.51,-1130.51,1.13051,-31.5652
1121.25,-1121.25,1.12125,-31.45
1113.06,-1113.06,1.11306,-31.3228
1104.13,-1104.13,1.10413,-31.26
1095.54,-1095.54,1.09554,-31.2252
1086.41,-1086.41,1.08641,-31.1968
1077.16,-1077.16,1.07716,-31.1404
1068.18,-1068.18,1.06818,-31.0812
1059.27,-1059.27,1.05927,-31.0876
1051.26,-1051.26,1.05126,-31.0816
1042.65,-1042.65,1.04265,-31.0792
1033.73,-1033.73,1.03373,-30.986
1024.98,-1024.98,1.02498,-30.886
1016.75,-1016.75,1.01675,-30.7436
1008.06,-1008.06,1.00806,-30.7012
998.549,-998.549,0.998549,-30.6752
990.328,-990.328,0.990328,-30.6732
981.625,-981.625,0.981625,-30.6348
973.903,-973.903,0.973903,-30.5276
964.939,-964.939,0.964939,-30.4628
955.867,-955.867,0.955867,-30.4956
947.684,-947.684,0.947684,-30.6236
939.188,-939.188,0.939188,-30.8272
931.148,-931.148,0.931148,-30.9288
922.222,-922.222,0.922222,-31.0276
912.228,-912.228,0.912228,-31.2084
903.091,-903.091,0.903091,-31.2616
895.097,-895.097,0.895097,-31.2776
886.462,-886.462,0.886462,-31.2496
878.411,-878.411,0.878411,-31.3224
869.22,-869.22,0.86922,-31.378
860.838,-860.838,0.860838,-31.3844
852.799,-852.799,0.852799,-31.3656
844.395,-844.395,0.844395,-31.36
835.738,-835.738,0.835738,-31.3444
826.615,-826.615,0.826615,-31.3156
816.94,-816.94,0.81694,-31.3132
807.722,-807.722,0.807722,-31.3456
798.428,-798.428,0.798428,-31.3748
789.362,-789.362,0.789362,-31.3852
779.45,-779.45,0.77945,-31.4508
769.708,-769.708,0.769708,-31.5472
760.574,-760.574,0.760574,-31.7144
751.827,-751.827,0.751827,-31.9024
742.976,-742.976,0.742976,-31.9956
733.744,-733.744,0.733744,-31.9744
724.727,-724.727,0.724727,-31.8896
716.254,-716.254,0.716254,-31.8296
707.583,-707.583,0.707583,-31.8088
698.622,-698.622,0.698622,-31.7436
689.778,-689.778,0.689778,-31.7204
681.144,-681.144,0.681144,-31.6588
672.368,-672.368,0.672368,-31.7012
663.814,-663.814,0.663814,-31.7732
655.271,-655.271,0.655271,-31.7816
646.9,-646.9,0.6469,-31.7244
638.325,-638.325,0.638325,-31.7176
629.783,-629.783,0.629783,-31.7896
621.464,-621.464,0.621464,-31.8316
613.338,-613.338,0.613338,-31.8792
604.848,-604.848,0.604848,-31.9144
596.972,-596.972,0.596972,-31.9488
588.184,-588.184,0.588184,-31.99
579.811,-579.811,0.579811,-32.016
571.734,-571.734,0.571734,-32.0312
563.878,-563.878,0.563878,-32.0128
555.786,-555.786,0.555786,-31.9472
546.961,-546.961,0.546961,-31.9024
538.161,-538.161,0.538161,-31.8108
529.979,-529.979,0.529979,-31.8076
519.61,-519.61,0.51961,-31.8444
510.547,-510.547,0.510547,-31.8584
502.128,-502.128,0.502128,-31.884
493.906,-493.906,0.493906,-31.8572
485.86,-485.86,0.48586,-31.8772
477.154,-477.154,0.477154,-31.885
468.21,-468.21,0.46821,-31.942
460.146,-460.146,0.460146,-31.9889
452.151,-452.151,0.452151,-32.0243
444.124,-444.124,0.444124,-31.9648
444.124,-444.124,0.444124,-32.0093
435.395,-435.395,0.435395,-31.9591
426.195,-426.195,0.426195,-31.9385
417.837,-417.837,0.417837,-31.9126
409.803,-409.803,0.409803,-31.9187
402.092,-402.092,0.402092,-31.942
393.705,-393.705,0.393705,-31.9715
385.137,-385.137,0.385137,-31.9926
377.252,-377.252,0.377252,-31.9811
369.36,-369.36,0.36936,-31.9811
361.642,-361.642,0.361642,-31.9876
354.187,-354.187,0.354187,-32.005
346.279,-346.279,0.346279,-32.037
338.479,-338.479,0.338479,-32.0848
330.199,-330.199,0.330199,-32.0848
322.114,-322.114,0.322114,-32.0898
314.683,-314.683,0.314683,-32.0339
307.306,-307.306,0.307306,-32.0133
299.88,-299.88,0.29988,-32.0013
292.523,-292.523,0.292523,-31.988
292.523,-292.523,0.292523,-32.0024
284.122,-284.122,0.284122,-32.0002
275.943,-275.943,0.275943,-32.0267
268.471,-268.471,0.268471,-32.072
261.287,-261.287,0.261287,-32.0807
253.461,-253.461,0.253461,-32.0337
245.663,-245.663,0.245663,-32.0117
238.562,-238.562,0.238562,-32.0213
231.056,-231.056,0.231056,-32.0263
223.068,-223.068,0.223068,-32.0254
215.304,-215.304,0.215304,-32.0128
208.106,-208.106,0.208106,-32.0198
200.585,-200.585,0.200585,-32.022
200.585,-200.585,0.200585,-32.0291
193.605,-193.605,0.193605,-31.9954
186.623,-186.623,0.186623,-31.9689
179.421,-179.421,0.179421,-31.9872
171.847,-171.847,0.171847,-32.038
165.464,-165.464,0.165464,-32.0241
159.38,-159.38,0.15938,-31.9559
152.263,-152.263,0.152263,-31.8415
152.263,-152.263,0.152263,-31.8813
145.126,-145.126,0.145126,-31.8098
138.807,-138.807,0.138807,-31.7583
132.407,-132.407,0.132407,-31.7235
125.451,-125.451,0.125451,-31.6656
119.205,-119.205,0.119205,-31.6002
119.205,-119.205,0.119205,-31.598
113.149,-113.149,0.113149,-31.6026
107.13,-107.13,0.10713,-31.622
95.1409,-95.1409,0.0951409,-31.5913
