Age,LakeLevel
19363.06720437690,1522.0338983050800
19212.18872500630,1515.2542372881400
19111.227050960300,1508.4745762711900
18960.912603288300,1505.084745762710
18959.92554781580,1499.1525423728800
18911.982853436400,1511.0169491525400
18863.335119433700,1518.6440677966100
18814.405369581800,1524.5762711864400
18765.616627654500,1531.3559322033900
18667.05208832740,1538.9830508474600
18518.288727826500,1544.915254237290
18419.58318057470,1551.6949152542400
18319.326546151900,1549.1525423728800
18368.115288079200,1542.3728813559300
18317.07041935760,1535.593220338980
18365.859161284900,1528.8135593220300
18314.67328463860,1521.1864406779700
18313.545221241400,1514.406779661020
18312.417157844300,1507.6271186440700
18311.2890944471,1500.8474576271200
18310.161031049900,1494.0677966101700
18309.032967652800,1487.2881355932200
18307.90490425560,1480.508474576270
18306.77684085850,1473.7288135593200
18305.50776953660,1466.1016949152500
18304.379706139500,1459.322033898310
18303.251642742300,1452.542372881360
18302.123579345200,1445.7627118644100
18300.995515948000,1438.9830508474600
18299.72644462620,1431.3559322033900
17900.392002030500,1431.3559322033900
17751.20561775570,1434.7457627118600
17301.813361910900,1433.8983050847500
17252.883612059000,1439.8305084745800
16953.805803886200,1442.3728813559300
16903.183958938500,1438.135593220340
16604.529174539600,1443.2203389830500
16255.39355311770,1444.915254237290
16155.136918694800,1442.3728813559300
15856.20011844670,1445.7627118644100
15705.462647000800,1439.8305084745800
15604.500972954700,1433.050847457630
15503.539298908600,1426.2711864406800
15402.718632787200,1420.3389830508500
15301.756958741100,1413.5593220339000
15200.65427677040,1405.9322033898300
15099.833610648900,1400
14999.012944527500,1394.0677966101700
14847.993457232300,1386.4406779661000
14796.948588510700,1379.6610169491500
14696.12792238920,1373.7288135593200
14595.166248343100,1366.9491525423700
14494.06356637240,1359.322033898310
14393.242900251000,1353.3898305084700
14292.14021828030,1345.7627118644100
14191.31955215880,1339.8305084745800
14090.357878112700,1333.0508474576300
13989.396204066700,1326.2711864406800
13888.575537945200,1320.3389830508500
13787.613863899100,1313.5593220339000
13686.652189853100,1306.7796610169500
13585.549507882300,1299.1525423728800
13484.728841760900,1293.2203389830500
13383.626159790200,1285.593220338980
12934.233903945400,1284.7457627118600
11935.897797456200,1284.7457627118600
10987.478496291500,1284.7457627118600
10088.976000451200,1284.7457627118600
9090.63989396203,1284.7457627118600
8192.137398121770,1284.7457627118600
7243.71809695704,1284.7457627118600
6345.215601116780,1284.7457627118600
5396.79629995205,1284.7457627118600
4498.293804111790,1284.7457627118600
3499.9576976226000,1284.7457627118600
2551.5383964578700,1284.7457627118600
1653.0359006176000,1284.7457627118600
704.6165994528780,1284.7457627118600
