Depth,Top,Bottom,Na_ppb,NH4_ppb,K_ppb,Mg_ppb,Ca_ppb,Cl_ppb,NO3_ppb,SO4_ppb,Top,Bottom,Age
112.92,112.69,113.14,7.127,13.505,4.457,1.094,6.814,13.827,69.445,32.66,323.3,325.7,324.5
113.37,113.14,113.6,4.368,3.781,0.665,1.325,7.816,10.281,63.865,32.179,325.7,327.0,326.4
113.825,113.6,114.05,3.908,4.862,1.447,0.984,5.21,10.99,67.585,32.66,327.0,328.8,327.9
114.275,114.05,114.5,5.288,9.363,0.899,1.653,11.824,12.409,75.026,33.14,328.8,330.7,329.8
114.725,114.5,114.95,4.828,14.405,1.759,1.932,18.036,10.636,76.886,38.903,330.7,332.3,331.5
115.02,114.95,115.09,2.069,12.785,0.626,1.033,4.409,10.99,103.548,20.652,332.3,333.0,332.7
115.36,115.09,115.62,5.518,7.743,2.502,1.543,13.226,12.409,75.646,25.455,333.0,334.7,333.9
115.86,115.62,116.1,6.207,4.862,0.938,1.361,6.814,13.472,87.427,39.384,334.7,336.7,335.7
116.31,116.1,116.52,5.288,5.942,0.899,1.009,6.413,11.345,55.804,29.298,336.7,338.1,337.4
116.75,116.52,116.97,4.368,4.502,0.821,0.741,5.01,10.99,73.166,29.298,338.1,340.2,339.2
117.19,116.97,117.41,6.207,4.862,4.809,1.3,11.222,13.472,70.686,29.298,340.2,342.1,341.2
117.64,117.41,117.86,5.288,5.042,1.29,0.936,5.812,12.409,69.445,26.896,342.1,344.6,343.4
118.09,117.86,118.31,9.656,5.942,5.044,1.154,6.012,16.308,70.686,95.577,344.6,346.4,345.5
118.53,118.31,118.75,4.828,4.142,1.486,1.288,8.818,10.99,69.445,57.635,346.4,347.8,347.1
118.92,118.75,119.09,4.598,6.122,1.095,1.057,7.615,12.409,79.986,31.219,347.8,349.5,348.7
119.24,119.09,119.39,5.288,4.502,0.43,1.701,8.216,12.054,66.965,48.989,349.5,350.6,350.1
119.61,119.39,119.83,5.288,3.061,0.586,1.458,8.016,11.345,58.285,51.871,350.6,352.4,351.5
120.06,119.83,120.28,4.598,6.122,0.665,1.556,9.82,10.281,55.184,35.541,352.4,354.3,353.4
120.50,120.28,120.72,7.587,4.502,2.62,2.187,13.226,15.599,80.606,35.541,354.3,356.1,355.2
120.94,120.72,121.16,4.368,3.781,0.508,1.556,9.018,8.509,81.226,32.179,356.1,358.5,357.3
122.09,121.9,122.28,3.908,3.961,1.017,1.398,8.818,8.509,81.846,67.24,361.0,362.3,361.7
122.39,122.28,122.5,6.207,8.283,1.329,2.868,14.028,14.181,73.166,105.183,362.3,363.0,362.7
122.72,122.5,122.94,4.828,4.322,1.212,1.154,8.818,12.763,68.205,26.896,363.0,364.7,363.9
123.17,122.94,123.39,3.448,3.241,0.938,1.045,5.411,8.863,50.224,25.936,364.7,366.9,365.8
123.61,123.39,123.83,7.357,6.662,1.251,1.41,6.814,12.409,67.585,30.258,366.9,368.2,367.6
123.95,123.83,124.07,7.817,10.624,4.614,1.337,11.222,15.599,89.287,37.943,368.2,369.4,368.8
124.28,124.07,124.49,7.587,3.961,1.095,1.653,6.212,14.89,76.266,35.061,369.4,371.3,370.4
124.71,124.49,124.93,7.817,4.682,1.173,1.604,6.814,17.017,70.066,33.14,371.3,372.6,372.0
125.01,124.93,125.09,5.977,4.322,1.72,1.373,6.613,15.954,73.166,34.1,372.6,373.0,372.8
125.23,125.09,125.37,4.598,5.222,1.056,1.288,11.022,8.863,66.965,26.896,373.0,374.6,373.8
125.60,125.37,125.82,3.219,6.302,0.743,0.778,3.407,9.927,63.245,20.652,374.6,376.4,375.5
126.04,125.82,126.26,4.598,6.302,0.86,1.154,7.014,12.054,70.686,29.298,376.4,378.3,377.4
126.48,126.26,126.7,7.817,4.502,1.916,2.418,17.836,13.827,58.285,60.516,378.3,380.3,379.3
126.895,126.7,127.09,4.368,4.142,1.759,1.009,8.417,11.345,62.005,34.1,380.3,382.0,381.2
127.34,127.09,127.58,5.058,6.843,1.095,1.434,6.814,14.181,79.986,34.581,382.0,383.9,383.0
127.80,127.58,128.02,8.046,9.544,1.486,1.556,9.018,18.79,83.707,27.376,383.9,386.1,385.0
128.24,128.02,128.46,7.817,10.084,1.486,1.944,9.419,18.436,72.546,32.66,386.1,387.9,387.0
