Age,Deuterium2007,TempAnomaly
578402,-399.6,-1.36
578166,-401.8,-1.71
577932,-402.6,-1.83
577684,-403.4,-1.95
577447,-405.4,-2.27
577214,-403,-1.87
576981,-402.8,-1.83
576749,-403.4,-1.95
576523,-404.4,-2.11
576297,-402.4,-1.73
576076,-403.2,-1.73
575861,-403.2,-1.62
575654,-402.4,-1.42
575452,-400.9,-1.14
575244,-400,-0.99
575040,-402.2,-1.37
574837,-401.1,-1.22
574631,-400.9,-1.23
574428,-401.8,-1.41
574217,-400.9,-1.31
574016,-403.4,-1.76
573814,-400.4,-1.29
573608,-400.6,-1.35
573392,-402.1,-1.63
573193,-405.2,-2.15
572991,-400.1,-1.32
572790,-401.3,-1.53
572583,-400.6,-1.43
572378,-403.1,-1.86
572178,-402.6,-1.79
571977,-400.8,-1.51
571780,-401.8,-1.69
571585,-400.2,-1.44
571390,-399.8,-1.38
571194,-400.2,-1.45
571001,-400.5,-1.49
570807,-400.1,-1.42
570612,-400.5,-1.48
570419,-401.3,-1.61
570228,-400.6,-1.50
570034,-400.5,-1.48
569845,-401.4,-1.64
569656,-400.1,-1.42
569474,-400.4,-1.47
569285,-398.1,-1.09
569093,-400.5,-1.49
568905,-402.2,-1.77
568716,-400.6,-1.51
568532,-401.1,-1.59
568346,-399.8,-1.38
568161,-400.8,-1.54
567969,-400.2,-1.44
567781,-403.2,-1.93
567602,-401.7,-1.68
567420,-399,-1.22
567231,-400.2,-1.42
567047,-403,-1.87
566857,-400.4,-1.44
566671,-404,-2.02
566484,-402.7,-1.80
566298,-403.3,-1.89
566114,-403.1,-1.84
565933,-403.1,-1.82
565745,-402,-1.63
565554,-404.8,-2.08
565365,-406,-2.27
565179,-405.7,-2.21
564994,-404.9,-2.07
564815,-404.8,-2.05
564627,-408.05,-2.58
564432,-405.8,-2.21
564238,-407.49,-2.49
564039,-408.1,-2.59
563841,-409.8,-2.87
563636,-409.4,-2.81
563433,-411.8,-3.22
563225,-410.8,-3.06
563015,-412.4,-3.33
562799,-412.7,-3.40
562582,-414.2,-3.66
562357,-414.4,-3.70
562130,-416.1,-4.00
561889,-416.4,-4.07
561649,-419.8,-4.64
561404,-418.8,-4.49
561149,-419.6,-4.65
560890,-421.6,-5.00
560625,-422.8,-5.21
560352,-424,-5.43
560077,-424.2,-5.48
559778,-425.7,-5.75
559461,-429.9,-6.48
559133,-431.5,-6.77
558823,-431.9,-6.86
558514,-427.5,-6.15
558214,-424.5,-5.66
557911,-423.4,-5.49
557616,-422.7,-5.38
557308,-420,-4.95
557013,-420.7,-5.07
556719,-416.7,-4.41
556411,-415.5,-4.21
556126,-418.3,-4.67
555844,-409.8,-3.25
555563,-408.9,-3.09
555265,-410.5,-3.35
554948,-414.7,-4.04
554604,-417.6,-4.52
554250,-418.6,-4.68
553874,-420.9,-5.07
553481,-423,-5.42
553047,-427.8,-6.23
552607,-428.1,-6.29
552129,-431.9,-6.94
551673,-429,-6.48
551208,-427.7,-6.28
550761,-423.4,-5.58
550322,-421.9,-5.35
549855,-426.6,-6.14
549348,-430.5,-6.81
548818,-432.8,-7.20
548280,-432.5,-7.17
547746,-430.3,-6.82
547202,-432.3,-7.17
546604,-436.7,-7.91
545985,-438,-8.14
545367,-437.8,-8.12
544758,-437.8,-8.13
544149,-434.8,-7.64
543554,-433,-7.35
542964,-432.4,-7.24
542381,-431.6,-7.10
541788,-432.7,-7.28
541188,-433.7,-7.43
540589,-434.45,-7.55
539991,-434,-7.46
539391,-434.6,-7.56
538784,-435.9,-7.77
538194,-434.5,-7.53
537652,-428.12,-6.47
537113,-429.9,-6.76
536575,-430.3,-6.82
536044,-430,-6.76
535508,-431.4,-6.99
534994,-429.3,-6.64
534459,-432.7,-7.20
533926,-433,-7.24
533375,-435.8,-7.71
532841,-434.4,-7.48
532302,-435.8,-7.71
531795,-432.2,-7.12
531284,-433.5,-7.33
530804,-430,-6.75
530357,-425.9,-6.07
529939,-422.1,-5.43
529534,-420.7,-5.18
529157,-416.7,-4.50
528783,-416.5,-4.44
528422,-414.8,-4.14
528056,-416,-4.31
527683,-417.8,-4.58
527299,-419.85,-4.90
526935,-417.1,-4.42
526559,-419.6,-4.82
526184,-419.9,-4.86
525808,-420.4,-4.93
525452,-418.73,-4.64
525099,-417.1,-4.35
524728,-420.09,-4.84
524375,-416.8,-4.29
524022,-418.2,-4.51
523675,-417,-4.30
523321,-418.9,-4.61
522969,-418.6,-4.55
522610,-420.4,-4.84
522290,-412.8,-3.58
521978,-411.8,-3.40
521664,-412.3,-3.47
521353,-411.9,-3.40
521027,-415.2,-3.94
520726,-410.3,-3.12
520416,-412.3,-3.45
520111,-414.1,-3.75
519804,-412.1,-3.41
519495,-412.5,-3.48
519193,-411,-3.23
518885,-412.3,-3.45
518578,-412.4,-3.47
518267,-413.1,-3.59
517960,-412.3,-3.46
517637,-415.6,-4.01
517329,-412.5,-3.51
516998,-417.1,-4.28
516666,-417.2,-4.31
516329,-418.1,-4.48
516006,-415.2,-4.01
515681,-415.5,-4.08
515343,-417.7,-4.46
514989,-420.7,-4.98
514633,-420.7,-5.00
514282,-419.6,-4.84
513933,-419,-4.77
513563,-422.6,-5.38
513185,-423.9,-5.62
512809,-423,-5.49
512432,-423.1,-5.53
512049,-423.6,-5.63
511658,-424.9,-5.86
511267,-424.6,-5.83
510876,-424.1,-5.76
510487,-423.5,-5.67
510100,-422.7,-5.55
509704,-424,-5.78
509308,-423.6,-5.73
508902,-424.8,-5.94
508493,-425.1,-6.00
508120,-418.4,-4.90
507758,-416.3,-4.55
507396,-416.1,-4.52
507027,-416.8,-4.63
506654,-417.2,-4.70
506271,-418.5,-4.91
505875,-420.3,-5.21
505474,-420.9,-5.32
505080,-419.2,-5.04
504708,-415.3,-4.40
504346,-412.9,-4.00
503968,-415.7,-4.46
503596,-414.2,-4.21
503217,-415.2,-4.37
502832,-415.7,-4.45
502446,-415.6,-4.43
502067,-414,-4.16
501663,-417.9,-4.81
501269,-415.7,-4.45
500875,-415.5,-4.41
500482,-414.9,-4.31
500090,-414.5,-4.25
499694,-414.8,-4.30
499316,-411.3,-3.72
498934,-411.7,-3.77
498545,-412.7,-3.93
498157,-412.1,-3.83
497762,-413,-3.97
497376,-411.1,-3.66
496978,-413,-3.97
496584,-411.9,-3.78
496190,-411.7,-3.74
495800,-410.7,-3.58
495401,-412,-3.79
495001,-412,-3.78
494600,-412,-3.78
494208,-411.89,-3.75
493802,-413,-3.93
493416,-408.8,-3.23
493022,-410.43,-3.50
492628,-410,-3.42
492234,-410,-3.42
491845,-409,-3.25
491456,-409,-3.25
491076,-407.7,-3.03
490701,-406.4,-2.81
490338,-404.2,-2.44
489978,-403.5,-2.31
489620,-403.2,-2.25
489256,-404.1,-2.39
488889,-404.9,-2.51
488555,-398,-1.36
488185,-405.4,-2.57
487817,-404.4,-2.40
487444,-405.4,-2.56
487062,-406.6,-2.75
486679,-406.7,-2.76
486279,-409.5,-3.22
485870,-410.7,-3.42
485462,-410.5,-3.39
485051,-410.8,-3.44
484635,-411.4,-3.54
484225,-410.3,-3.36
483798,-412.7,-3.76
483371,-412.5,-3.74
482928,-415,-4.15
482489,-413.8,-3.97
482035,-416,-4.34
481571,-417.1,-4.53
481081,-419.5,-4.94
480605,-418.3,-4.76
480119,-419.4,-4.95
479623,-420.5,-5.15
479099,-423.9,-5.73
478562,-425.3,-5.98
478062,-420.4,-5.19
477586,-417,-4.64
477138,-412.8,-3.95
476679,-414.2,-4.19
476200,-416.7,-4.61
475696,-419.6,-5.09
475160,-423.5,-5.75
474576,-430.3,-6.89
473970,-430.9,-7.01
473409,-425.7,-6.17
472880,-421.5,-5.50
472392,-416.1,-4.62
471934,-412.3,-4.00
471435,-417.3,-4.83
470916,-419.4,-5.18
470337,-426.1,-6.30
469706,-431.8,-7.26
469115,-426.9,-6.47
468461,-433.5,-7.58
467740,-439.7,-8.64
467058,-435.8,-8.03
466367,-436.5,-8.17
465657,-438.3,-8.50
464951,-437.8,-8.44
464257,-435.5,-8.08
463620,-432.8,-7.65
