Age,EEI ,lower bound,upper bound
55250,0.095692467448004,0.0657529008392761,0.125907066600913
55350,0.0903511599325925,0.0603605193457194,0.119750674608029
55450,0.0824960388440303,0.0536014778200695,0.110402181886382
55550,0.0718699068642458,0.0450882091918361,0.0979194909140041
55650,0.0587841069013719,0.0344683531680707,0.0832599458505894
55750,0.0441644975391679,0.02150969431786,0.0673550477203982
55850,0.0288389798283638,0.00636168072280596,0.0517583246292766
55950,0.0135423186062987,-0.00926574051899759,0.0367655753587019
56050,-0.00104550958645484,-0.0251533546465316,0.0231058129491951
56150,-0.0144636731873014,-0.0396173133329341,0.0104563901073855
56250,-0.0264096366908441,-0.0519576506836482,-0.00119411811272424
56350,-0.0365494293440211,-0.0618159823850238,-0.0106707872339495
56450,-0.0444837621863317,-0.0690838389017051,-0.0188796578845783
56550,-0.0497592140525001,-0.0735193986180858,-0.0257968114259297
56650,-0.0525122331608772,-0.075067720666564,-0.0308102020652149
56750,-0.053457297638788,-0.0751709331656897,-0.0327868934729711
56850,-0.053239657221998,-0.0748285676209071,-0.0322830431298083
56950,-0.0523833742900255,-0.0739288099011917,-0.0309880716550181
57050,-0.0512819611276665,-0.0731429776109174,-0.0294629093975188
57150,-0.0502169276835149,-0.0723075968439164,-0.0280897348012373
57250,-0.0493931558529009,-0.0714779027017063,-0.02744885468878
57350,-0.0489323317695082,-0.0708195550025858,-0.0274867165806238
57450,-0.0488521878190555,-0.0702421511617478,-0.0282161887105457
57550,-0.0490767914788716,-0.0699336719630571,-0.0292681536298858
57650,-0.0494595465860053,-0.0695131072250745,-0.0299972794240708
57750,-0.049789621420049,-0.0694410212798052,-0.0309229954326151
57850,-0.0497624229897626,-0.0692402742917912,-0.0311882465317974
57950,-0.0489574752985734,-0.0688075213107952,-0.0300892201861914
58050,-0.0468637678055068,-0.0673572035853125,-0.0273169064141534
58150,-0.0432418057461173,-0.0639916468021974,-0.0228774259369176
58250,-0.0380960345320017,-0.0594545049175128,-0.0168629707206521
58350,-0.0313628104823574,-0.0528011773824488,-0.00915386595373037
58450,-0.0228719272557471,-0.0445443632645796,-0.000303463072640025
58550,-0.0123998555053825,-0.0332029930152493,0.0100567036254474
58650,-1.26E-04,-2.08E-02,0.0212521373478217
58750,0.0133627392209129,-0.00714213512154654,0.0339143989500123
58850,0.0274476170581049,0.00663485773887853,0.0479355064557447
58950,0.0414775069068426,0.0201116723046607,0.0630047434002502
59050,0.0547771565212604,0.0319599436382923,0.0779817523835477
59150,0.0669470938311578,0.0423259681277043,0.0917471842925167
59250,0.0778344359173609,0.0517213532852796,0.10410223481079
59350,0.0871601499732143,0.060318563850736,0.11426891534061
59450,0.094428021608019,0.0666349437634646,0.122021267274069
59550,0.0990009176396294,0.0716438674344027,0.126003501863843
59650,0.100903674417724,0.0743985718548975,0.12748761343051
59750,0.100860543543506,0.0753245000923832,0.126598444149767
59850,0.0994540778115888,0.0745155942667336,0.12458011635033
59950,0.0970058344411924,0.0726481838299839,0.121503434563278
60050,0.093643048829227,0.0700051043216337,0.117460419598781
60150,0.0896804398648631,0.0667004474551306,0.112852257230208
60250,0.0856190856162713,0.063247952193544,0.108682843907016
60350,0.0818005797182839,0.0596406021260199,0.104428146438717
60450,0.078377723109978,0.0562931026160995,0.100536864706195
60550,0.0753652362842153,0.0535073036931765,0.0972822225314758
60650,0.0728774118632855,0.0515209895078928,0.0943311013036426
60750,0.0711304679963555,0.0499908762851426,0.0924070835904337
60850,0.070220077808923,0.0493072383411455,0.091417066032422
60950,0.0701024854436416,0.0490385696763283,0.0914102865056468
61050,0.0706241657602507,0.0493308260720485,0.0918945680594187
61150,0.0717700544371375,0.0504723072044699,0.0930364852733784
61250,0.0736634909655989,0.0524053540423339,0.0951314200791762
61350,0.0763070802991563,0.0548598151981349,0.0979353807221531
61450,0.0795519867382365,0.0577086851585809,0.101739327731377
61550,0.0831270401830099,0.0610825525532001,0.105699444199817
61650,0.0868517196471211,0.0646397131202448,0.109466904615272
61750,0.0906232685131753,0.0677297496329495,0.113923702678093
61850,0.0941872042870831,0.070518380003624,0.118344669318204
61950,0.0970827482706437,0.0722381719454412,0.1221789394689
62050,0.0986760193768963,0.0730208412786768,0.124786411413481
62150,0.098657697154141,0.0721415524214115,0.125559211063956
62250,0.0970440242762461,0.0700937940104921,0.123989274516675
62350,0.0936641639566599,0.0664145469663397,0.120869688379265
62450,0.0881241026687108,0.0613152297437013,0.114981183802051
62550,0.0798814290005009,0.0537829483289135,0.105739287867103
62650,0.0690988462288927,0.045073814602958,0.0932432853099981
62750,0.0566805183147809,0.0342620199794721,0.0795828599498484
62850,0.0433888397847657,0.0225302377150815,0.0650826567560461
62950,0.029838382758579,0.00921411818236831,0.0504278491682718
63050,0.0165503915865235,-0.00408290574726961,0.0368132033471345
63150,0.00390972544275783,-0.0169322060264844,0.0248442693872338
63250,-0.00779367676096565,-0.0283331664778318,0.0145496050065704
63350,-0.0182516918881964,-0.0385595542457518,0.00442913066647147
63450,-0.0271260153320483,-0.0471458441219625,-0.00447596276572947
63550,-0.0340642502418784,-0.0533958569376616,-0.012335741011501
63650,-0.039045919026865,-0.0579797551366947,-0.0187947308447942
63750,-0.0423925824381547,-0.0608744674339889,-0.023629034109829
63850,-0.0443544423198959,-0.0626740640039322,-0.0267812134255449
63950,-0.0450682488155914,-0.0629624643282065,-0.0281558721776335
64050,-0.0445821058093608,-0.0616583158763909,-0.0282129028647622
64150,-0.0430308692072585,-0.059439730954023,-0.0273162262388246
64250,-0.0406472082420296,-0.0565657234727415,-0.0254345936896363
64350,-0.0375796993936035,-0.0529271370641595,-0.0226942930168534
64450,-0.033894606289695,-0.0488119361524915,-0.0194129086333712
64550,-0.0296053323448298,-0.0440995440290184,-0.0155803823436393
64650,-0.024891071733652,-0.0388209365722204,-0.0111516253028301
64750,-0.0201062137033993,-0.0338585295129966,-0.00635093147960294
64850,-0.0155701484680137,-0.0292576476238022,-0.00175554212312593
64950,-0.0115559311092114,-0.0251777538036184,0.00238241695729735
65050,-0.00830011795817949,-0.0216259875795647,0.00572167688925456
65150,-0.00584161905226557,-0.0191177318958053,0.00789520750638118
65250,-0.00399146237985457,-0.0170921178919343,0.00934361655334718
65350,-0.00253020049143258,-0.0156226927325642,0.0108310948156186
65450,-0.00123711625372248,-0.0142810807672998,0.0121331669895285
65550,9.06E-05,-1.30E-02,0.0135137883273844
65650,0.0014952341205659,-0.0114794720674043,0.0147894872029519
65750,0.00286603446156903,-0.0102464836155209,0.016198674588426
65850,0.00409014870414571,-0.00939312028946363,0.0176636039760196
65950,0.00504934336120778,-0.00876637043859818,0.0188954159194732
66050,0.00561980254439244,-0.00861318827365441,0.0197042010156291
66150,0.00565620071825373,-0.00883854681729521,0.0201957961259043
66250,0.00497976754249532,-0.00997950424301627,0.0198403101620977
66350,0.00338927038156653,-0.0117747828625317,0.0186831090152616
66450,0.000652169196014291,-0.0143812289873514,0.0160682614651955
66550,-0.0034504329646775,-0.0180572820256329,0.0114675000675328
66650,-0.00881523781708694,-0.0229338486051533,0.0055399411589181
66750,-0.0150173194162679,-0.0286531640406667,-0.00107388474882357
66850,-0.0215985806534791,-0.0358322591229832,-0.00773043175342116
66950,-0.0280552841972659,-0.0431121190267646,-0.0136132871745466
67050,-0.033853960974794,-0.0496615195591357,-0.0185375461014004
67150,-0.0388071317729251,-0.0549725359776846,-0.02288924462213
67250,-0.0430518700050565,-0.0595416372569506,-0.0263991522333158
67350,-0.0466575215140995,-0.0634729802948295,-0.0296361734096769
67450,-0.0495881753338534,-0.0667448973305757,-0.0323341259341135
67550,-0.0517235673668089,-0.0688058525614855,-0.0345024531022693
67650,-0.0531768233844256,-0.0700192118509907,-0.0362153363966956
67750,-0.0542986299912976,-0.0711983950750924,-0.0374169896207051
67850,-0.0553391628402911,-0.0723460938928216,-0.0382591677152584
67950,-0.0564373556412988,-0.0735582635060761,-0.0392696614318194
68050,-0.0576309793938561,-0.0748828752873368,-0.0402847775181544
68150,-0.0589939225117423,-0.0767376879777685,-0.0413612043640477
68250,-0.0606428996784724,-0.0787743163603345,-0.042532470922092
68350,-0.0625883086036637,-0.0811817422377133,-0.0442337000059608
68450,-0.0647011676876746,-0.083909970669212,-0.0458331964084604
68550,-0.0667496566918757,-0.0866468918806472,-0.0472652563337206
68650,-0.0688295536623145,-0.0895957527267063,-0.0484525575234655
68750,-0.071366770062844,-0.0930996953612042,-0.0497382139281906
68850,-0.0746864005110863,-0.0976863124745338,-0.0520239642284405
68950,-0.0789573648491684,-0.102723610000449,-0.0552146030491704
69050,-0.0842327335702339,-0.108730393212399,-0.0597996971047734
69150,-0.0904836149695984,-0.115662567303074,-0.0655829344984478
69250,-0.0975841167633779,-0.123104352122677,-0.0721858742073068
69350,-0.105222461124479,-0.131495082266088,-0.0794811649363085
69450,-0.112883209544389,-0.139717687175976,-0.086901748126034
69550,-0.119881364590251,-0.147737946136838,-0.0929560303218732
69650,-0.125968988591051,-0.155152812475852,-0.0982383322994112
69750,-0.131286151411755,-0.161554021302618,-0.102477456673965
69850,-0.135757199676324,-0.166498758269275,-0.10584753241206
69950,-0.139017437298677,-0.17070326246495,-0.107869876234194
70050,-0.140474561343482,-0.172567101437659,-0.108923441124197
70150,-0.139984805047347,-0.172066058682224,-0.108227071233837
70250,-0.13784247631451,-0.1698029767009,-0.106675837216168
70350,-0.134087564601161,-0.165526572038351,-0.103488739456274
70450,-0.128430405976493,-0.159023358663247,-0.0983701606013715
70550,-0.120356385636405,-0.150394819948593,-0.0910937626049607
70650,-0.110011117401002,-0.138621763472128,-0.0823843546872381
70750,-0.0982368457360991,-0.125343165570368,-0.0718532240234048
70850,-0.08572959530271,-0.111597705989204,-0.0601490613833999
70950,-0.0729654879187193,-0.0980620825886662,-0.0481037768984575
71050,-0.0602550378319402,-0.0844671942143715,-0.0359443864121961
71150,-0.0478881550441312,-0.0713035521780061,-0.024355860837038
71250,-0.0361692001126051,-0.0587564007669291,-0.0131063081932436
71350,-0.0253161274503505,-0.0473748552456429,-0.00280891974609275
71450,-0.0154772326130846,-0.0370380749728158,0.00671044960033491
71550,-0.00675666927131589,-0.0281605201619001,0.0152654122109069
71650,0.000801336559400626,-0.0203470906386204,0.0229403160113262
71750,0.00719881379500452,-0.014038645201376,0.0296057444382402
71850,0.0124350125605017,-0.00961467789554014,0.0352549124443862
71950,0.0164888922201586,-0.00656927973253556,0.0396857232316591
72050,0.0193002272986012,-0.00428380466996791,0.0427935579254771
72150,0.0207088434915435,-0.00385047915669307,0.0446079327347793
72250,0.0204501649957166,-0.00545011250101622,0.0452722345137735
72350,0.0181974324310836,-0.00965048209324454,0.0442821398348058
72450,0.0135755352723477,-0.0169601834735419,0.0411386128948671
72550,0.00620208277056733,-0.0264391324670879,0.0352719031460697
72650,-0.00386222064456113,-0.0367167031779465,0.0260357894702942
72750,-0.0160949137489697,-0.0484841522812232,0.0146505379980932
72850,-0.0299413930034306,-0.0612339164341345,0.0013606262566843
72950,-0.0448623114107106,-0.0752227355894134,-0.0137069296869691
73050,-0.0602594117381049,-0.0909915442235555,-0.0294985375047702
73150,-0.0754706562555385,-0.10740281392539,-0.0443455309936409
73250,-0.0897323109918938,-0.123264966836973,-0.0571339568280998
73350,-0.102127808197967,-0.137441986308981,-0.0667147881851457
73450,-0.111510127076083,-0.148903473009667,-0.0735592560912014
73550,-0.116516173563596,-0.155026540407564,-0.0774498304694046
73650,-0.116888343118084,-0.155815659602396,-0.0773694453110553
73750,-0.113491384822935,-0.152133273518439,-0.0747604746402086
73850,-0.107034368230728,-0.145025644218643,-0.0693537139046774
