Age,Depth,G. bulloides δ18O,G. bulloides δ13C,N. pachyderma s,Qz,Carb detr,Volcanic,Foram,IRD,Terr mine,SST sum,Foram plankt arctic,Foram plankt subpolar,Foram plankt subtropical,Foram plankt subtropica,Foram plankt tropical
16821.000,2.77,2.92,-0.64,,,,,,,,,40.78,36.86,21.57,0.78,0.00
16844.000,2.78,2.56,-0.84,80.56,1.99,0.00,0.00,93.88,1.99,4600,4.8,36.77,39.77,23.13,0.33,0.00
16913.000,2.81,2.91,-0.68,76.37,5.77,0.00,0.00,81.43,5.77,16098,5.4,32.37,38.89,28.50,0.24,0.00
16956.000,2.82,2.92,-0.76,,,,,,,,,37.89,33.68,28.00,0.42,0.00
17042.000,2.84,2.84,-0.62,74.74,2.03,0.00,0.00,94.59,2.03,5882,5.4,22.92,48.33,28.62,0.12,0.00
17085.000,2.85,3.11,-0.68,,,,,,,,,12.75,47.36,39.71,0.18,0.00
17171.000,2.87,2.87,-0.71,79.94,1.49,0.00,0.00,95.95,1.49,2679,4.7,14.65,48.17,36.81,0.37,0.00
17214.000,2.88,2.94,-0.96,,,,,,,,,3.74,49.11,46.44,0.71,0.00
17300.000,2.90,2.85,-0.73,76.81,0.10,0.00,0.00,99.16,0.10,1053,4.8,4.94,44.34,50.59,0.13,0.00
17386.000,2.92,3.14,-0.73,,,,,,,,,2.10,42.23,55.04,0.63,0.00
17429.000,2.93,3.12,-0.50,64.24,0.31,0.00,0.00,97.84,0.31,2800,8.0,1.46,46.99,51.18,0.36,0.00
17507.000,2.96,2.68,-0.86,40.78,1.40,0.00,0.00,93.68,1.40,1429,8.5,1.81,51.73,45.96,0.49,0.00
17585.000,2.99,2.82,-0.67,36.77,0.31,0.00,0.00,98.45,0.31,400,8.7,8.74,43.72,47.39,0.14,0.00
17663.000,3.02,2.73,-0.84,32.37,0.34,0.00,0.00,98.19,0.34,1739,9.2,9.02,46.32,44.24,0.42,0.00
17741.000,3.05,2.87,-0.65,37.89,0.59,0.00,0.00,96.84,0.59,1111,8.6,7.03,49.22,43.36,0.39,0.00
17866.000,3.08,2.79,-0.88,22.92,0.00,0.00,0.00,98.83,0.00,694,10.6,5.40,51.13,42.79,0.69,0.00
17991.000,3.11,2.65,-0.70,12.75,0.00,0.00,0.00,98.34,0.00,893,15.0,4.29,45.19,49.90,0.61,0.00
18116.000,3.14,2.54,-0.90,14.65,0.00,0.00,0.00,99.31,0.00,385,16.0,3.30,50.55,45.33,0.82,0.00
18241.000,3.17,2.56,-0.92,3.74,0.17,0.00,0.00,99.66,0.17,208,17.1,2.15,48.66,48.12,1.08,0.00
18366.000,3.20,2.39,-0.91,4.94,0.24,0.00,0.12,94.77,0.36,7333,16.2,2.99,49.72,45.98,1.31,0.00
18491.000,3.23,2.34,-1.12,2.10,0.39,0.00,0.00,98.82,0.39,1034,16.5,3.92,46.97,47.87,1.23,0.00
18615.000,3.26,2.54,-1.02,1.46,0.00,0.00,0.00,98.97,0.00,61,16.0,2.39,51.59,44.62,1.39,0.00
18740.000,3.29,2.80,-0.74,1.81,0.15,0.00,0.00,98.25,0.15,1132,15.0,2.73,52.19,43.17,1.91,0.00
18865.000,3.32,2.52,-0.98,8.74,0.39,0.00,0.00,97.94,0.39,1096,17.0,2.77,47.10,49.12,1.01,0.00
18990.000,3.35,2.60,-0.93,9.02,0.61,0.00,0.00,96.33,0.61,3333,14.7,3.51,48.55,46.07,1.86,0.00
19115.000,3.38,2.31,-0.77,7.03,0.18,0.00,0.00,98.55,0.18,440,14.6,1.83,54.83,40.73,2.61,0.00
19240.000,3.41,2.19,-1.00,5.40,0.09,0.00,0.00,97.69,0.09,2889,16.8,3.48,52.90,40.37,3.25,0.00
19328.000,3.44,2.47,-0.91,4.29,0.55,0.00,0.00,96.33,0.55,1961,17.6,4.53,51.38,42.13,1.97,0.00
19417.000,3.47,2.39,-0.86,3.30,0.25,0.00,0.12,96.29,0.37,1579,17.1,3.36,52.57,41.95,2.12,0.00
19505.000,3.50,2.41,-0.78,2.15,0.96,0.00,0.00,94.71,0.96,1222,16.1,4.97,46.63,45.03,3.37,0.00
19593.000,3.53,2.44,-0.83,2.99,0.48,0.00,0.00,93.61,0.48,2381,16.0,6.06,49.65,43.59,0.70,0.00
19682.000,3.56,2.44,-0.85,3.92,1.79,0.00,0.00,88.16,1.79,14667,17.4,5.45,53.69,38.30,2.56,0.00
19770.000,3.59,2.41,-0.84,2.39,1.29,0.00,0.00,89.05,1.29,3617,15.4,6.73,50.67,41.08,1.52,0.00
19858.000,3.62,2.44,-0.82,2.73,1.99,0.00,0.00,90.29,1.99,3607,16.1,6.48,46.65,44.28,2.59,0.00
19947.000,3.65,2.46,-0.67,2.77,1.20,0.00,0.00,87.58,1.20,5849,15.4,7.63,45.04,43.77,3.56,0.00
20035.000,3.68,2.58,-0.59,3.51,1.16,0.00,0.00,89.42,1.16,10323,16.7,2.98,53.57,41.37,2.08,0.00
20123.000,3.71,2.53,-0.69,1.83,2.02,0.00,0.00,86.23,2.02,7083,16.3,5.69,53.83,38.30,2.07,0.10
20212.000,3.74,2.64,-0.61,3.48,0.93,0.00,0.00,90.28,0.93,5532,17.0,3.50,54.76,40.78,0.97,0.00
20300.000,3.77,2.69,-0.61,4.53,2.50,0.00,0.00,83.51,2.50,4444,17.7,3.85,57.21,37.74,1.20,0.00
20393.000,3.80,2.49,-0.78,3.36,1.85,0.00,0.00,83.88,1.85,5980,17.2,1.80,62.25,35.06,0.90,0.00
20485.000,3.83,2.36,-0.77,4.97,1.90,0.00,0.00,79.46,1.90,16727,17.7,2.34,62.85,33.33,1.49,0.00
20578.000,3.86,2.26,-0.96,6.06,3.79,0.00,0.00,78.83,3.79,5776,17.0,1.59,61.78,34.08,2.55,0.00
20670.000,3.89,2.55,-0.85,5.45,2.45,0.00,0.00,85.80,2.45,9355,17.8,2.93,60.55,35.55,0.98,0.00
20763.000,3.92,2.30,-0.78,6.73,0.73,0.00,0.00,86.83,0.73,9310,17.0,3.00,61.85,33.51,1.63,0.00
20856.000,3.95,2.45,-0.64,6.48,1.06,0.00,0.00,82.81,1.06,8906,18.3,2.52,62.33,33.59,1.55,0.00
20948.000,3.98,2.50,-0.72,7.63,2.04,0.00,0.00,76.80,2.04,13704,18.6,1.45,61.09,31.27,6.18,0.00
21041.000,4.01,2.47,-0.55,2.98,0.67,0.00,0.00,88.89,0.67,2717,17.6,1.64,58.89,39.07,0.34,0.06
21134.000,4.04,2.57,-0.56,5.69,2.73,0.00,0.00,81.01,2.73,35641,17.0,0.65,57.19,40.52,1.63,0.00
21226.000,4.07,2.64,-0.57,3.50,1.08,0.00,0.00,90.15,1.08,8889,15.9,1.57,63.64,32.69,2.10,0.00
21319.000,4.10,2.45,-0.51,3.85,0.85,0.00,0.00,94.92,0.85,2927,14.5,1.17,59.33,37.76,1.75,0.00
21411.000,4.13,2.70,-0.64,1.80,0.96,0.00,0.00,95.79,0.96,2292,14.4,1.56,59.25,37.98,1.20,0.00
21504.000,4.16,2.51,-0.67,2.34,0.36,0.00,0.00,95.02,0.36,5833,14.7,1.84,57.77,37.71,2.40,0.28
21597.000,4.19,2.55,-0.85,1.59,0.58,0.00,0.00,95.95,0.58,1346,16.3,2.59,68.60,27.59,0.74,0.49
21689.000,4.22,2.48,-0.88,2.93,0.00,0.00,0.00,98.21,0.00,2174,15.1,4.15,61.18,33.23,1.12,0.32
21782.000,4.25,2.71,-0.56,3.00,0.49,0.00,0.00,96.57,0.49,1556,16.8,5.61,55.72,37.21,1.46,0.00
21875.000,4.28,2.56,-0.68,2.52,0.65,0.00,0.00,92.53,0.65,5111,14.8,3.61,59.38,35.80,0.69,0.52
21967.000,4.31,2.76,-0.53,1.45,0.95,0.00,0.00,95.57,0.95,2545,14.6,6.20,57.21,35.19,1.09,0.31
22060.000,4.34,2.48,-0.76,1.64,0.81,0.00,0.00,97.67,0.81,2527,13.9,4.28,59.98,35.15,0.59,0.00
22152.000,4.37,2.46,-0.74,0.65,0.58,0.00,0.00,98.27,0.58,769,14.3,4.64,54.81,39.52,0.86,0.17
22245.000,4.40,2.49,-0.71,1.57,0.30,0.00,0.00,97.89,0.30,2121,13.6,4.75,51.26,42.79,0.74,0.45
22338.000,4.43,2.48,-0.74,1.17,0.87,0.12,0.00,96.27,1.00,3846,14.4,8.06,59.07,32.09,0.62,0.16
22430.000,4.46,2.57,-0.49,1.56,0.92,0.00,0.00,96.12,0.92,2639,15.1,10.19,54.62,34.71,0.16,0.32
